name,composite_score,composite_rank,h_index,citations_per_paper,venue_diversity,total_paper_count,institution
Shiliang Sun,0.7468189953028351,102.0,49,42.270270270270274,0.9215484602593834,222,
M. Surdeanu,0.7461933448123865,103.0,43,78.71078431372548,0.8628177800186971,204,
Dong Yu,0.7460515841667364,104.0,80,72.67482517482517,0.6564587329792035,572,
R. Gur,0.7459023051324015,105.0,141,75.34928716904277,0.8029930173614724,982,
Roy Schwartz,0.745750944149019,106.0,29,127.64912280701756,0.835175391900889,57,The Hebrew University of Jerusalem
Bill Yuchen Lin,0.7439096163345893,107.0,35,91.609375,0.7720340391334293,64,Allen Institute for AI (AI2)
Leon Weber,0.742477166024756,108.0,13,151.9090909090909,0.951759348388087,22,Humboldt-Universität zu Berlin
Sara Hooker,0.7421850389887229,109.0,22,129.86666666666667,0.7487982938142622,30,
D. Summers-Stay,0.7416867270626918,110.0,10,89.6,0.9815144739625636,40,
Ana Marasović,0.7409831522237068,111.0,16,156.45833333333334,0.8716340444177243,24,Allen Institute for AI
Stella Biderman,0.7385162411639513,112.0,31,263.42,0.7919326274054836,50,Booz Allen Hamilton
Ting Liu,0.7383370037591555,113.0,73,54.328227571115974,0.8105504444886005,457,
Hang Zhang,0.7367444938828177,114.0,21,228.6551724137931,0.8632048282282174,29,
Zaid Alyafeai,0.7346128639376939,115.0,16,136.0,0.8028303381810132,40,King Fahd University of Petroleum & Minerals
Slav Petrov,0.7345185392322585,116.0,43,292.2289156626506,0.8396592613657302,83,Google
Alexis Conneau,0.7334782993074759,117.0,29,367.25,0.9258417488425564,60,
st Dastan,0.7334769429773366,118.0,1,135.0,0.9198682455847804,1,
Adrián Pastor Cimat,0.7334769429773366,118.0,1,158.0,0.9198682455847804,1,
Hussein Sharif,0.7334769429773366,118.0,1,135.0,0.9198682455847804,1,
José Alejandro Ruiz,0.7334769429773366,118.0,1,158.0,0.9198682455847804,1,
John Giorgi,0.7324716929840932,122.0,10,155.57142857142858,0.9265160001059998,21,"University of Toronto, Donnelly Centre for Cellular and Biomolecular Research, Vector Institute for Artificial Intelligence"
Nelson F. Liu,0.7318743123700615,123.0,13,241.95,0.9124568882514588,20,Stanford University
Glen A. Coppersmith,0.7317311173616883,124.0,24,88.10416666666667,0.9751901911178104,48,
Iz Beltagy,0.7313395493551205,125.0,29,303.28,0.8590161208330959,50,Allen Institute for Artificial Intelligence (AI2)
Xiaodong Liu,0.7301678566555997,126.0,26,131.53191489361703,0.8951070448088062,47,
Peter Ondruska,0.7286405807101544,127.0,18,131.41666666666666,0.8988076095240874,24,
B. Pang,0.7275723301784884,128.0,27,533.9574468085107,0.8824854469871325,47,
Ray Oshikawa,0.7260000000000001,129.0,1,147.0,1.0,2,
Angelina McMillan-Major,0.7253475402717745,130.0,11,487.0,0.9549080284177106,15,
G. Clifford,0.7237498382028162,131.0,66,54.324929971988794,0.8151174563202807,357,
John W. Ricketts,0.7226822147101704,132.0,2,156.75,0.9999999999999998,4,
Yacine Jernite,0.7213315077824537,133.0,27,171.6,0.8141423142050895,50,Hugging Face
Ligeng Zhu,0.7204129713599975,134.0,19,140.16216216216216,0.822615636215473,37,
Albert Villanova del Moral,0.7199860892487938,135.0,17,136.55555555555554,0.935944697445866,27,
J. Pustejovsky,0.7195289192019899,136.0,64,47.78989361702128,0.8821485939004671,376,
Wenpeng Yin,0.7187929307033968,137.0,29,76.16176470588235,0.8741687194587366,68,
Hsinchun Chen,0.7187848878242611,138.0,93,48.926829268292686,0.8383680728806798,820,
Yi Zhu,0.7187283622441532,139.0,18,85.1025641025641,0.9304448635617708,39,
Noémie Elhadad,0.7177578964775886,140.0,46,67.25352112676056,0.8154872725637272,142,Columbia University
Gunjan Chhablani,0.7170076073046509,141.0,11,173.60714285714286,0.8686068971282328,28,
Simon Ott,0.7168223848695351,142.0,9,205.0,0.9788379141596312,12,
Jenny Chim,0.7165544407779133,143.0,9,248.15384615384616,0.957742056202218,13,
Tong He,0.7164598484873672,144.0,23,354.25,0.8829451659595586,36,
Théo Gigant,0.716,145.0,2,557.25,1.0,4,
Patrick von Platen,0.7158170234346188,146.0,14,138.14634146341464,0.8081032498902061,41,
Zhongyue Zhang,0.7155923313998126,147.0,11,244.65,0.9747327069425888,20,
Jinlan Fu,0.7150045738064598,148.0,16,169.4516129032258,0.8770681848900138,31,
Shamik Bose,0.7140680439109421,149.0,8,147.72222222222223,0.967132018086354,18,
Brendan T. O'Connor,0.7140610434288795,150.0,18,157.6590909090909,0.8503753954131149,44,University of Massachusetts Amherst
Dan Otter,0.7134545454545456,151.0,3,428.0,1.0,3,
Xuanjing Huang,0.7128215416696707,152.0,64,48.66233766233766,0.7714564197832469,385,Fudan University
Chunting Zhou,0.7123255746703783,153.0,25,116.76923076923076,0.8685403567577346,39,Carnegie Mellon University
Kalina Bontcheva,0.712017134158177,154.0,54,46.36594202898551,0.909714249266144,276,
Mo Yu,0.7118141722786985,155.0,42,106.9578947368421,0.8283694580688196,95,IBM Research
Barbara J. Grosz,0.7115977185236079,156.0,5,524.8,1.0,10,
Tom Young,0.7104374858497803,157.0,10,313.5,0.9487695103589052,14,
Matt Gardner,0.7098296621294763,158.0,47,246.7391304347826,0.7103626950538803,92,Allen Institute for Artificial Intelligence
Sarah Wiegreffe,0.7095957037866937,159.0,12,143.29166666666666,0.8405468787811062,24,
Mariama Drame,0.7092036994589707,160.0,4,106.16666666666669,0.8649735207179272,24,
Aditya Siddhant,0.7091225718990385,161.0,18,158.75,0.895303585454823,36,
Yu Gu,0.7088927092088908,162.0,12,99.8,0.9685921904321414,20,
Everton da S. Maldonado,0.7088075834417338,163.0,4,88.0,1.0,5,
Sam Shleifer,0.7086978913184891,164.0,13,191.02325581395348,0.7806678181414528,43,
Ozan Irsoy,0.7079188181795364,165.0,15,89.55555555555556,0.9119010405095448,36,
Yige Xu,0.706613723677238,166.0,6,300.5,0.9488131148903384,10,Nanyang Technological University
Victor Veitch,0.7063709714621251,167.0,24,83.17777777777778,0.8774214242280157,45,
Tristan Naumann,0.7056315865000846,168.0,25,112.23636363636363,0.8962275772430559,55,Microsoft Research Health Futures
Sukhdev Singh,0.7049736717803483,169.0,4,239.75,0.8112781244591328,4,
A. Abbasi,0.7039604104941433,170.0,40,59.81896551724138,0.9254462412773792,116,
Samuele Garda,0.7037379758127099,171.0,6,146.75,0.9807239409418418,16,
David G. Dobolyi,0.7025325376088521,172.0,14,278.037037037037,0.9714028604103716,27,
Jason Alan Fries,0.7023104557924673,173.0,21,163.0,0.8831317779712174,38,Stanford University
Benjamin Beilharz,0.7011666666666667,174.0,3,751.6666666666666,0.9999999999999998,3,Technical University of Darmstadt
Paul R. Kingsbury,0.7008008583763607,175.0,12,198.7826086956522,0.9641843565827052,23,
Peng Qi,0.7005713141820943,176.0,18,167.9189189189189,0.8745670948570389,37,Orby AI
Bo Wang,0.7001190603125077,177.0,4,578.75,0.946394630357186,4,
Graham Neubig,0.7000851655692181,178.0,84,55.13590604026846,0.7910510799254258,596,
Swabha Swayamdipta,0.6996722369201137,179.0,18,160.775,0.8657652053054127,40,Allen Institute for AI
Aston Zhang,0.6992886395575226,180.0,29,75.33846153846154,0.9102628915089136,65,
Victor Sanh,0.6990016142934076,181.0,12,213.94736842105263,0.9329350879565488,19,
Samuel Cahyawijaya,0.6983730025266724,182.0,22,87.08620689655173,0.8980104740687973,58,
Michael Cullan,0.6980218818494794,183.0,3,319.0,0.946394630357186,7,
David McClosky,0.697089312662723,184.0,19,297.1818181818182,0.926441677957548,33,
K. Kavukcuoglu,0.6970249698367271,185.0,74,1655.575221238938,0.77811759503352,113,
Hua Xu,0.6969996165341615,186.0,55,46.862660944206006,0.8223340332244594,233,
A. Schwaighofer,0.6964316141380685,187.0,21,92.16363636363636,0.939192454264213,55,
Oscar Sainz,0.6964131848386522,188.0,8,88.93333333333334,0.9782223928152854,15,University of the Basque Country
Zhanghao Wu,0.6954135710456778,189.0,10,338.0769230769231,0.9533522741071694,13,
Haibin Lin,0.694549949403874,190.0,12,145.83333333333334,0.8069752676736981,18,
Romain Paulus,0.6940000000000002,191.0,6,377.875,1.0,8,
Hakime Öztürk,0.6935499331738286,192.0,8,151.0909090909091,0.94268071481726,11,
Alisa Liu,0.6926381408614,193.0,9,213.93333333333337,0.8982265179691366,15,University of Washington
Ishaan Gulrajani,0.6925884690024627,194.0,14,716.5217391304348,0.9388906303246312,23,
M. Soltanolkotabi,0.6918626332739071,195.0,39,72.41414141414141,0.8145587267444797,99,
Hiroaki Hayashi,0.6917531939272236,196.0,13,267.25,0.9052563462508008,20,Carnegie Mellon University
Isabelle Augenstein,0.6913340863241331,197.0,40,39.921052631578945,0.8022310302516438,152,University of Copenhagen
Jan A. Botha,0.6913168483337304,198.0,11,116.6875,0.8405940738665996,16,
Khaled Shaalan,0.6906056916282842,199.0,50,35.65051903114187,0.9165308478559104,289,The British University in Dubai
J. King,0.6905520938454199,200.0,34,71.6951219512195,0.8881512456263561,82,
N. Usuyama,0.6902436476177057,201.0,14,136.875,0.8482460985718315,24,
N. Dahlberg,0.6899893380587941,202.0,3,324.42857142857144,0.9609640474436812,7,
Hayley Ross,0.6896666666666668,203.0,1,301.0,1.0,3,
Gabor Angeli,0.6895303938966318,204.0,15,289.17391304347825,0.879561313310002,23,Square Inc
J. Finkel,0.6887416413685926,205.0,14,536.9565217391304,0.8509553984313724,23,
Yunfan Shao,0.6886319293055329,206.0,11,117.33333333333331,0.8668652429095505,24,Fudan University
Bridger Waleed Ammar,0.687534295724296,207.0,24,81.88461538461539,0.884302848971962,52,Holistic Intelligence for Global Good (HIGG)
Michael Schmitz,0.6873373891056898,208.0,4,276.375,1.0,8,Allen Institute for AI
Zhi Zhang,0.6870793436960752,209.0,11,171.07692307692307,0.8165982976888233,13,
Xiangyang Liu,0.6865415442795489,210.0,10,132.33333333333334,0.910971521326466,15,Fudan University
Ryan Leary,0.6860877375762616,211.0,10,127.75,0.9683925140412226,12,
Anna Schmidt,0.6858571428571429,212.0,7,175.125,1.0,8,
Yongfeng Zhang,0.6857168850775698,213.0,29,70.6470588235294,0.854035210059437,51,
José Camacho-Collados,0.6857019097639242,214.0,35,46.01652892561984,0.8598224933524202,121,
S. Ananiadou,0.6856148782930996,215.0,63,33.48775894538606,0.8901596978384269,531,
Dirk Hovy,0.6854951701094918,216.0,43,51.14893617021277,0.8404360476182688,141,Bocconi University
Mario Sanger,0.6853075834417338,217.0,3,744.3333333333334,0.9999999999999998,3,
Ruibo Liu,0.6843832735372807,218.0,21,72.17948717948718,0.8309357722393024,39,Google DeepMind
Diyi Yang,0.6838385885349011,219.0,30,47.70512820512821,0.828454316056961,78,
Emad Shihab,0.6831426225413273,220.0,45,51.07258064516129,0.8743613120699167,124,
Yusheng Su,0.6827903356526028,221.0,15,85.26923076923077,0.8771945057051443,26,Tsinghua University
Dat Quoc Nguyen,0.6823430514678072,222.0,33,62.24,0.945150413891968,75,
Wojciech Kusa,0.6821119833292391,223.0,6,77.86666666666666,0.9793596259794076,30,TU Wien
Simon Brandeis,0.6813333333333335,224.0,2,187.66666666666663,1.0,3,
James H. Martin,0.6807753884893011,225.0,40,69.31288343558282,0.957968231691438,163,
Michael Karlen,0.6804742501084006,226.0,2,3856.0,1.0,2,
Minh Chien Vu,0.6803172035639466,227.0,6,238.45454545454547,0.9629610647945144,11,
A. Wilson,0.679754726201136,228.0,57,67.96984924623115,0.8419688589813652,199,
Alexander M. Rush,0.6795087760732172,229.0,5,228.0,0.8962406251802889,10,
Fangyu Liu,0.6793687347346272,230.0,28,74.24528301886792,0.8585738468404093,53,Google DeepMind
B. Coecke,0.6793529184418462,231.0,46,34.83984375,0.8836079312562617,256,
Hanrui Wang,0.6789493287878388,232.0,6,149.41666666666666,0.9825675930733636,12,
Tony Sun,0.6787588365058981,233.0,6,150.85714285714286,0.9755037590061084,7,
Jonas Golde,0.6786343902923171,234.0,4,249.0,0.8096568334164151,9,
David Barry,0.6780000000000002,235.0,1,312.0,1.0,2,
Jonathan Pelham,0.6780000000000002,235.0,1,312.0,1.0,2,
Eli Lifland,0.6775431982514593,237.0,6,138.71428571428572,1.0,7,Ought
Joe Davison,0.6767059523809524,238.0,7,96.3,0.875,30,
Patrick Haller,0.6757367953256876,239.0,4,283.0,0.8613531161467861,8,
Robert Tinn,0.6756146510030953,240.0,7,130.2,0.9848586617875464,15,
Wanxiang Che,0.6746498751828163,241.0,51,47.48198198198198,0.8163387395242736,222,
M. Worring,0.6745564505825232,242.0,45,33.07734806629834,0.8544394150735874,362,
Alessandro Moschitti,0.6740897285268247,243.0,52,37.32276657060519,0.8490214221105057,347,"Amazon, University of Trento"
Anthony Moi,0.6739857269791742,244.0,3,99.3,0.946394630357186,20,
David Weiss,0.6736169729307413,245.0,12,165.69230769230768,0.9131226292013046,13,
Edward Kim,0.6733532802243073,246.0,7,100.25,0.979569764547061,12,
Suraj Patil,0.6729742501084005,247.0,2,112.4,1.0,5,
Clement Delangue,0.6729631981648674,248.0,6,234.15384615384616,0.9528195311147832,13,
Julian R. Medina,0.6728333333333334,249.0,3,430.3333333333333,0.9999999999999998,3,
James Bradbury,0.6725023104635324,250.0,11,2161.695652173913,0.9407187364499412,23,
Zijie J. Wang,0.6724331432542291,251.0,18,63.02325581395349,0.920711738527726,43,Georgia Tech
Dan Roth,0.6721537372878876,252.0,5,195.55555555555551,1.0000000000000002,9,
Helen Christensen,0.6713333333333334,253.0,2,154.5,1.0,2,
M. Samwald,0.6712811836632805,254.0,32,51.76119402985075,0.9249184340623526,134,
Marc Pàmies,0.6712751379166703,255.0,9,219.5,0.9206198357143052,12,
Y. Aloimonos,0.6709467372054672,256.0,53,27.01526717557252,0.8836241490865602,393,
C. Caucheteux,0.670788544298361,257.0,19,109.525,0.9205706674788952,40,
Yaser Keneshloo,0.6694909356038469,258.0,6,85.22222222222223,0.9755037590061084,9,
Oyvind Tafjord,0.6684729899449464,259.0,32,128.2173913043478,0.7527776831067071,69,
S. D. Pietra,0.6678738533858604,260.0,22,456.0,0.8745847873243199,32,
A. Korhonen,0.666890924183367,261.0,53,46.70634920634921,0.8179973261485973,252,
Tim Rault,0.6667857269791743,262.0,3,116.88235294117646,0.946394630357186,17,
D. Maynard,0.6666105716514918,263.0,37,49.43975903614458,0.9188153087976316,166,
Marco Lippi,0.6656646575415429,264.0,30,77.36458333333333,0.9718733556294984,96,
Haoran Xie,0.6656590354126382,265.0,43,40.94648829431438,0.9402181670507572,299,
Lingfei Wu,0.6642940861134697,266.0,41,37.108108108108105,0.8378597622841686,185,
Natasha Seelam,0.6637123453464957,267.0,6,328.42857142857144,1.0,7,
Martha Palmer,0.6637090465393943,268.0,63,65.38157894736842,0.8801068173848751,380,
Marianna Nezhurina,0.6622751379166701,269.0,6,401.5,0.9206198357143048,6,
Jin Yong Yoo,0.6619744097496706,270.0,5,122.375,0.9697238998682473,8,
Jack Hessel,0.661713226776564,271.0,28,88.43103448275862,0.8317729482609157,58,AI2
Victor Sanh,0.6615827586646509,272.0,13,329.75,0.9080630942453352,36,
