name,h_index,h_index_rank,composite_score,composite_rank,total_citation_count,total_paper_count,venue_diversity,citations_per_paper,institution,rank_difference,abs_rank_difference
Zexian Zeng,19,364.0,0.7598474490493216,85.0,4774,52,0.93004465328878,91.8076923076923,,279.0,279.0
Eneko Agirre,56,65.0,0.7591127284210829,86.0,18202,304,0.8432652096079251,59.875,University of the Basque Country (UPV/EHU),-21.0,21.0
Batya Friedman,48,94.0,0.7579299731297563,87.0,11635,135,0.8605832256272603,86.18518518518519,,7.0,7.0
Zhijian Liu,23,291.0,0.7573754061408928,88.0,6725,32,0.9397167748083826,210.15625,Massachusetts Institute of Technology,203.0,203.0
Riccardo Miotto,31,202.0,0.7572825877576993,89.0,7320,62,0.9626001735333608,118.06451612903226,,113.0,113.0
L. Briand,86,23.0,0.7572619204359015,90.0,31098,538,0.8260934102226952,57.80297397769517,,-67.0,67.0
Shaoxiong Ji,22,306.0,0.7571665333581515,91.0,3823,50,0.9371150879577616,76.46,Technical University of Darmstadt,215.0,215.0
Yuhui Zhang,16,418.0,0.756676169073184,92.0,7334,30,0.9267209661324796,244.46666666666667,Stanford University,326.0,326.0
D. Roth,94,16.0,0.75643171288587,93.0,35304,586,0.7862266536349182,60.2457337883959,,-77.0,77.0
Chen Luo,2,903.0,0.7561666666666667,94.0,481,3,0.9999999999999998,160.33333333333334,,809.0,809.0
Richard G. Netemeyer,64,44.0,0.7547821700631063,95.0,30316,136,0.9704516348198234,222.91176470588235,,-51.0,51.0
Weizhe Yuan,10,570.0,0.7541792040285283,96.0,4826,23,0.9030899869919434,209.82608695652175,,474.0,474.0
Ryan T. McDonald,49,91.0,0.752347921730879,97.0,18244,100,0.8694167359758651,182.44,,-6.0,6.0
Zhengbao Jiang,21,321.0,0.7512554521885109,98.0,6989,31,0.9328169654082606,225.4516129032258,,223.0,223.0
Loïc Barrault,31,202.0,0.7508445975256274,99.0,9293,104,0.8908847882760411,89.35576923076923,"Meta AI, The University of Sheffield, Le Mans Université",103.0,103.0
Bing Qin,45,102.0,0.7500208143550285,100.0,14744,234,0.8442612156477922,63.00854700854701,,2.0,2.0
Brandon M Stewart,26,255.0,0.7498779275704286,101.0,8861,58,0.9626504181195332,152.77586206896552,Princeton University,154.0,154.0
Shiliang Sun,49,91.0,0.7468189953028351,102.0,9384,222,0.9215484602593834,42.270270270270274,,-11.0,11.0
M. Surdeanu,43,111.0,0.7461933448123865,103.0,16057,204,0.8628177800186971,78.71078431372548,,8.0,8.0
Dong Yu,80,26.0,0.7460515841667364,104.0,41570,572,0.6564587329792035,72.67482517482517,,-78.0,78.0
R. Gur,141,4.0,0.7459023051324015,105.0,73993,982,0.8029930173614724,75.34928716904277,,-101.0,101.0
Roy Schwartz,29,218.0,0.745750944149019,106.0,7276,57,0.835175391900889,127.64912280701756,The Hebrew University of Jerusalem,112.0,112.0
Bill Yuchen Lin,35,159.0,0.7439096163345893,107.0,5863,64,0.7720340391334293,91.609375,Allen Institute for AI (AI2),52.0,52.0
Leon Weber,13,473.0,0.742477166024756,108.0,3342,22,0.951759348388087,151.9090909090909,Humboldt-Universität zu Berlin,365.0,365.0
Sara Hooker,22,306.0,0.7421850389887229,109.0,3896,30,0.7487982938142622,129.86666666666667,,197.0,197.0
D. Summers-Stay,10,570.0,0.7416867270626918,110.0,3584,40,0.9815144739625636,89.6,,460.0,460.0
Ana Marasović,16,418.0,0.7409831522237068,111.0,3755,24,0.8716340444177243,156.45833333333334,Allen Institute for AI,307.0,307.0
Stella Biderman,31,202.0,0.7385162411639513,112.0,13171,50,0.7919326274054836,263.42,Booz Allen Hamilton,90.0,90.0
Ting Liu,73,33.0,0.7383370037591555,113.0,24828,457,0.8105504444886005,54.328227571115974,,-80.0,80.0
Hang Zhang,21,321.0,0.7367444938828177,114.0,6631,29,0.8632048282282174,228.6551724137931,,207.0,207.0
Zaid Alyafeai,16,418.0,0.7346128639376939,115.0,5440,40,0.8028303381810132,136.0,King Fahd University of Petroleum & Minerals,303.0,303.0
Slav Petrov,43,111.0,0.7345185392322585,116.0,24255,83,0.8396592613657302,292.2289156626506,Google,-5.0,5.0
Alexis Conneau,29,218.0,0.7334782993074759,117.0,22035,60,0.9258417488425564,367.25,,101.0,101.0
st Dastan,1,945.0,0.7334769429773366,118.0,135,1,0.9198682455847804,135.0,,827.0,827.0
Adrián Pastor Cimat,1,945.0,0.7334769429773366,118.0,158,1,0.9198682455847804,158.0,,827.0,827.0
Hussein Sharif,1,945.0,0.7334769429773366,118.0,135,1,0.9198682455847804,135.0,,827.0,827.0
José Alejandro Ruiz,1,945.0,0.7334769429773366,118.0,158,1,0.9198682455847804,158.0,,827.0,827.0
John Giorgi,10,570.0,0.7324716929840932,122.0,3267,21,0.9265160001059998,155.57142857142858,"University of Toronto, Donnelly Centre for Cellular and Biomolecular Research, Vector Institute for Artificial Intelligence",448.0,448.0
Nelson F. Liu,13,473.0,0.7318743123700615,123.0,4839,20,0.9124568882514588,241.95,Stanford University,350.0,350.0
Glen A. Coppersmith,24,281.0,0.7317311173616883,124.0,4229,48,0.9751901911178104,88.10416666666667,,157.0,157.0
