name,h_index,h_index_rank,total_citation_count,total_paper_count,institution
M. Ghassemi,21,321.0,8775,66,
Hang Zhang,21,321.0,6631,29,
T. Y. Han,21,321.0,2878,38,
Shijin Wang,21,321.0,3265,56,
Chenghua Lin,21,321.0,2000,106,
Juanzi Li,21,321.0,2796,104,
Houda Bouamor,21,321.0,1915,76,
J. Markoff,21,321.0,2019,119,
S. Kwan,21,321.0,1818,62,
Taxiarchis Botsis,21,321.0,2521,75,
Emma Strubell,21,321.0,6005,77,
Yanshan Wang,21,321.0,2254,94,
Y. Barash,21,321.0,1789,90,
Heike Adel,21,321.0,1799,59,
Michael Wiegand,21,321.0,3391,98,Institute for German Language Mannheim/Heidelberg University
Guanghua Yang,21,321.0,1128,86,
Chetan Arora,21,321.0,1088,45,
A. Schwaighofer,21,321.0,5069,55,
M. Rastegar-Mojarad,21,321.0,2132,68,
Pradeep Dasigi,21,321.0,4391,54,Allen Institute for Artificial Intelligence
A. Savic,21,321.0,2718,135,
T. Cai,20,350.0,1793,62,
D. Wolter,20,350.0,1257,93,
T. Callahan,20,350.0,2595,90,
M. Awad,20,350.0,3334,138,
I. Harris,20,350.0,1310,99,
F. Goss,20,350.0,1273,59,
Tianxiang Sun,20,350.0,3134,45,
Xiaozhi Wang,20,350.0,2756,51,Tsinghua University
D. Q. Nguyen,20,350.0,1887,44,
T. Poibeau,20,350.0,2046,169,
Jie Fu,20,350.0,1813,91,Quebec AI Institute (Mila)
V. D. Pietra,20,350.0,17456,27,
S. Berrouiguet,20,350.0,1437,61,
Karwan Jacksi,20,350.0,1012,52,
Yuhao Zhang,19,364.0,5494,42,"AWS AI, Stanford University"
Ligeng Zhu,19,364.0,5186,37,
Zexian Zeng,19,364.0,4774,52,
Amir Pouran Ben Veyseh,19,364.0,2029,41,
Mengzhou Xia,19,364.0,2174,30,
Pavel P. Kuksa,19,364.0,10955,82,
Jianping Li,19,364.0,2072,84,
M. Bommarito,19,364.0,1928,48,
Shuchang Liu,19,364.0,1265,26,
Shrimai Prabhumoye,19,364.0,3938,52,
Naveed Afzal,19,364.0,2174,63,
P. Gordon,19,364.0,1103,79,
P. Lenca,19,364.0,1743,119,
C. Caucheteux,19,364.0,4381,40,
D. Katz,19,364.0,2081,58,
P. Kummervold,19,364.0,2284,35,
Jingcheng Du,19,364.0,1814,74,The University of Texas Health Science Center at Houston
David McClosky,19,364.0,9807,33,
Dimitri Kartsaklis,19,364.0,1155,39,
Ruochen Xu,19,364.0,2341,34,Om AI
Marina Danilevsky,19,364.0,1904,58,IBM Research
Amir Feder,18,385.0,1816,33,Columbia University
Swabha Swayamdipta,18,385.0,6431,40,Allen Institute for AI
Edwin Simpson,18,385.0,1159,45,University of Bristol
Chenguang Wang,18,385.0,1357,31,Washington University
Jiaao Chen,18,385.0,2415,33,Georgia Institute of Technology
M. DeJonckheere,18,385.0,2050,78,
Raymond S. T. Lee,18,385.0,1223,104,
André F. T. Martins,18,385.0,1604,28,
Tianlin Zhang,18,385.0,1207,43,The University of Manchester
Canwen Xu,18,385.0,5928,30,
Teven Le Scao,18,385.0,10335,48,
Brendan T. O'Connor,18,385.0,6937,44,University of Massachusetts Amherst
Peter Ondruska,18,385.0,3154,24,
A. Hiszpanski,18,385.0,1274,48,
Zijie J. Wang,18,385.0,2710,43,Georgia Tech
Aditya Siddhant,18,385.0,5715,36,
W. Zeng,18,385.0,2363,42,
Yi Zhu,18,385.0,3319,39,
Marije C Michel,18,385.0,1478,64,
Peng Qi,18,385.0,6213,37,Orby AI
Yang Xiang,17,405.0,1626,34,
Timothy J. O'Gorman,17,405.0,840,35,Thorn
Chengke Wu,17,405.0,979,32,
Leila Wehbe,17,405.0,1527,62,Carnegie Mellon University
Irfan Ahmad,17,405.0,937,43,"King Fahd University of Petroleum and Minerals, Dhahran, Saudi Arabia"
Xiaojie Guo,17,405.0,1908,43,
Liping Zhao,17,405.0,1230,131,
Albert Villanova del Moral,17,405.0,3687,27,
Zheng Shi,17,405.0,927,81,
Samuel Yen-Chi Chen,17,405.0,1447,30,
Ludovic Tanguy,17,405.0,3296,101,Université de Toulouse
Yuan Luo,17,405.0,966,47,
T. Alexopoulou,17,405.0,1171,49,
Thomas Wolf,16,418.0,13534,103,HuggingFace Inc.
Xiuying Chen,16,418.0,925,38,
Nasser Zalmout,16,418.0,855,32,
Dayiheng Liu,16,418.0,2383,36,Alibaba Group
Stephen T Wu,16,418.0,1489,53,UTHealth
Ana Marasović,16,418.0,3755,24,Allen Institute for AI
Beth Ripley,16,418.0,1119,27,
Salam Khalifa,16,418.0,957,38,Stony Brook University
Yuhui Zhang,16,418.0,7334,30,Stanford University
Heeyoul Choi,16,418.0,1208,69,
Shangbin Feng,16,418.0,1148,35,
M. Walter,16,418.0,1363,71,
Quan.Z Sheng,16,418.0,1416,56,
V. Salari,16,418.0,927,68,
Zaid Alyafeai,16,418.0,5440,40,King Fahd University of Petroleum & Minerals
Jinlan Fu,16,418.0,5253,31,
Theresa A. Koleck,16,418.0,945,56,
Tianxing He,16,418.0,1185,32,
Bonan Min,16,418.0,2123,44,
Ozan Irsoy,15,437.0,3224,36,
Yusheng Su,15,437.0,2217,26,Tsinghua University
Xingjian Shi,15,437.0,10784,22,
Zhisong Zhang,15,437.0,1039,24,
Karim Bouzoubaa,15,437.0,898,58,
Wen-wai Yim,15,437.0,732,38,
Gabor Angeli,15,437.0,6651,23,Square Inc
W. Whiteley,15,437.0,698,35,
Han Cai,15,437.0,1319,26,
Palash Goyal,15,437.0,3444,61,Amazon Alexa AI-NU
M. Radeos,15,437.0,753,58,
Yevgeni Berzak,15,437.0,560,31,
Xiaochuang Han,15,437.0,1037,21,University of Washington
Su Lin Blodgett,15,437.0,2496,50,Microsoft Research
S. Quarteroni,15,437.0,13121,69,
M. Berendsen,15,437.0,1476,40,
Viet Dac Lai,15,437.0,1053,37,University of Oregon
Stephanie L. Hyland,15,437.0,2077,36,Microsoft Research Cambridge
Piotr (Peter) Mardziel,14,455.0,1877,40,independent
N. Usuyama,14,455.0,3285,24,
Malihe Alikhani,14,455.0,849,79,Rutgers University
Patrick von Platen,14,455.0,5664,41,
Diba Mirza,14,455.0,1400,34,
Elif Ozkirimli,14,455.0,858,42,
Mourad Abbas,14,455.0,740,46,
David G. Dobolyi,14,455.0,7507,27,
Michael A. Hedderich,14,455.0,682,37,
Chaoyang He,14,455.0,947,28,
Daniel Coelho de Castro,14,455.0,2089,29,Microsoft Research
Swabha Swayamdipta,14,455.0,1401,20,
James Thorne,14,455.0,1306,21,
Debajyoti Datta,14,455.0,6111,59,
Ishaan Gulrajani,14,455.0,16480,23,
He He,14,455.0,1413,17,
J. Finkel,14,455.0,12350,23,
Andrea Galassi,14,455.0,983,41,"University of Bologna p=8,33,6,5,17,18,34,30,10"
Francesco Barbieri,13,473.0,1623,24,
Chengwei Qin,13,473.0,1437,24,
Yizhi Li,13,473.0,500,37,University of Manchester
Sheng Zha,13,473.0,887,25,
P. Szolovits,13,473.0,1099,27,
Victor Sanh,13,473.0,11871,36,
Majid Yazdani,13,473.0,1013,32,"Facebook AI, EPFL, Linkedin, Idiap research institute"
Rotem Dror,13,473.0,1006,20,
Yuqi Si,13,473.0,1157,25,
Marcos Vinícius Treviso,13,473.0,874,27,
Jieyu Zhao,13,473.0,4127,34,UCLA
Cristina Palomares,13,473.0,501,36,
Sam Shleifer,13,473.0,8214,43,
A. A. Monem,13,473.0,903,27,
P. Crutchley,13,473.0,1510,21,
C. Dreisbach,13,473.0,991,45,
Frank Zimmer,13,473.0,671,33,
