name,h_index,h_index_rank,composite_score,composite_rank,citation_impact_weighted,breadth_weighted,productivity_weighted,leadership_weighted,quality_weighted,citation_impact_raw,venue_diversity_raw,papers_per_year,leadership_ratio,quality_score,institution
James Bradbury,11,542.0,0.6725023104635324,250.0,0.4,0.1796257788787397,0.046,0.0,0.046876531584792505,2161.695652173913,0.9407187364499412,2.3,0.0,0.93753063169585,
Mourad Abbas,14,455.0,0.384297128002524,876.0,0.06434782608695652,0.1932630402883169,0.04181818181818182,0.04565217391304348,0.03921590589602532,16.08695652173913,0.898645944504668,2.090909090909091,0.45652173913043476,0.7843181179205063,
Christopher Potts,56,65.0,0.9247243819686196,6.0,0.4,0.2205531385301818,0.1591304347826087,0.1,0.04504080865582916,173.6448087431694,0.8660179344581816,7.956521739130435,1.0163934426229508,0.9008161731165832,
Michael Karlen,2,903.0,0.6804742501084006,226.0,0.4,0.178,0.010000000000000002,0.05,0.042474250108400474,3856.0,1.0,0.5,0.5,0.8494850021680094,
N. Khan,8,635.0,0.33243655312750875,973.0,0.06705882352941177,0.17516771826562744,0.03777777777777778,0.029411764705882356,0.023020468848809372,16.764705882352942,0.9409583900892996,1.8888888888888888,0.29411764705882354,0.46040937697618745,
Shucheng Li,5,764.0,0.4463121379696422,728.0,0.12866666666666668,0.17797880463630886,0.048,0.04166666666666667,0.05,32.166666666666664,0.9484503122074792,2.4,0.4166666666666667,1.0,Nanjing University
M. Surdeanu,43,111.0,0.7461933448123865,103.0,0.31484313725490193,0.225993111503272,0.11657142857142858,0.060294117647058824,0.02849154983572516,78.71078431372548,0.8628177800186971,5.828571428571428,0.6029411764705882,0.5698309967145032,
Juanzi Li,21,321.0,0.4516251956573096,712.0,0.10753846153846154,0.16985716047154717,0.09043478260869564,0.04903846153846154,0.03475632950014367,26.884615384615383,0.7391837741231266,4.521739130434782,0.49038461538461536,0.6951265900028734,
X. J. Yang,4,809.0,0.5637342145025153,484.0,0.272,0.18250000000000002,0.014285714285714285,0.06,0.03494850021680094,68.0,1.0000000000000002,0.7142857142857143,0.6,0.6989700043360187,
Marije C Michel,18,385.0,0.4713863297623846,667.0,0.092375,0.18813632976238465,0.064,0.096875,0.03,23.09375,0.9464933129279124,3.2,0.96875,0.6,
Trishala Neeraj,8,635.0,0.6477075597344912,304.0,0.4,0.16770755973449109,0.03333333333333334,0.006666666666666667,0.04000000000000001,370.1333333333333,0.8983289127685204,1.6666666666666667,0.06666666666666667,0.8,
Nader Tavvaf,1,945.0,0.4515,713.0,0.4,0.0015,0.020000000000000004,0.0,0.03,195.0,0.0,1.0,0.0,0.6,
Ekaterina Shutova,35,159.0,0.6193360498054918,385.0,0.2060618556701031,0.1955720604749193,0.09238095238095238,0.08350515463917527,0.041816026640341744,51.51546391752577,0.8775546312852531,4.619047619047619,0.8350515463917526,0.8363205328068348,
Oyvind Tafjord,32,194.0,0.6684729899449464,259.0,0.4,0.15123609454367373,0.04758620689655173,0.030434782608695657,0.03921590589602532,128.2173913043478,0.7527776831067071,2.3793103448275863,0.30434782608695654,0.7843181179205063,
